timestamps,CP5,F5,C3,CP3,CP6,F6,C4,CP4,stim
1619622015253.0,-37215.1171875,27475.27734375,9374.8583984375,-38337.69140625,-24791.458984375,8968.369140625,28941.642578125,-42773.59375,0.0
1619622015261.0,-37210.89453125,27457.375,9322.15234375,-38341.30859375,-24794.41015625,8966.0224609375,28898.458984375,-42776.61328125,0.0
1619622015261.0,-37221.62109375,27477.357421875,9401.7470703125,-38349.828125,-24781.06640625,8965.0166015625,28969.470703125,-42784.12109375,0.0
1619622015265.0,-37220.75,27507.263671875,9462.9013671875,-38343.3203125,-24771.544921875,8972.19140625,29045.64453125,-42777.21484375,0.0
1619622015273.0,-37213.10546875,27481.24609375,9336.703125,-38333.8671875,-24788.509765625,8972.99609375,28951.56640625,-42770.44140625,0.0
1619622015277.0,-37212.76953125,27459.318359375,9262.8759765625,-38335.9453125,-24798.76953125,8971.0517578125,28876.1953125,-42775.40625,0.0
1619622015278.0,-37214.11328125,27466.76171875,9362.654296875,-38351.703125,-24788.44140625,8960.5908203125,28945.53125,-42790.6953125,0.0
1619622015286.0,-37220.01171875,27478.49609375,9442.9189453125,-38366.72265625,-24788.0390625,8948.0517578125,29018.689453125,-42805.3125,0.0
1619622015290.0,-37209.75390625,27467.767578125,9345.0859375,-38346.47265625,-24794.0078125,8962.06640625,28956.529296875,-42787.00390625,0.0
1619622015298.0,-37197.6171875,27465.82421875,9347.96875,-38342.65234375,-24787.435546875,8967.162109375,28924.810546875,-42788.546875,0.0
1619622015302.0,-37193.125,27491.908203125,9448.015625,-38350.36328125,-24770.94140625,8966.357421875,29028.544921875,-42794.24609375,0.0
1619622015302.0,-37193.4609375,27480.978515625,9370.0302734375,-38338.96484375,-24777.37890625,8966.357421875,28986.568359375,-42783.65234375,0.0
1619622015306.0,-37190.84375,27448.791015625,9268.3740234375,-38328.50390625,-24787.705078125,8971.587890625,28887.796875,-42773.125,0.0
1619622015314.0,-37198.01953125,27453.015625,9326.779296875,-38334.5390625,-24774.96484375,8969.8447265625,28911.6015625,-42779.6953125,0.0
