timestamps,CP5,F5,C3,CP3,CP6,F6,C4,CP4,stim
1619623463034.0,-23742.783203125,21993.37890625,17985.95703125,-37665.86328125,-18560.955078125,25360.892578125,42840.11328125,-43262.96484375,0.0
1619623463038.0,-23743.921875,22000.21875,18070.044921875,-37671.765625,-18562.095703125,25361.5625,43118.7265625,-43269.1328125,0.0
1619623463042.0,-23751.90234375,22002.029296875,18150.443359375,-37679.609375,-18567.392578125,25361.83203125,43492.42578125,-43276.375,0.0
1619623463046.0,-23745.666015625,21999.951171875,18080.83984375,-37668.74609375,-18563.302734375,25361.361328125,43268.26171875,-43267.65625,0.0
1619623463050.0,-23745.197265625,21989.421875,17986.091796875,-37665.9296875,-18559.48046875,25356.869140625,42860.49609375,-43259.9453125,0.0
1619623463054.0,-23750.6953125,21992.9765625,18051.603515625,-37675.921875,-18563.302734375,25357.13671875,43052.140625,-43268.4609375,0.0
1619623463058.0,-23755.255859375,22001.357421875,18151.181640625,-37684.63671875,-18570.544921875,25360.556640625,43468.7578125,-43277.91796875,0.0
1619623463062.0,-23753.04296875,21994.5859375,18096.798828125,-37678.671875,-18572.0859375,25361.8984375,43321.5703125,-43273.35546875,0.0
1619623463066.0,-23748.21484375,21982.11328125,17987.431640625,-37674.78125,-18573.2265625,25353.78515625,42864.9921875,-43270.5390625,0.0
1619623463070.0,-23753.4453125,21984.9296875,18029.408203125,-37680.6171875,-18581.474609375,25350.1640625,42967.71875,-43281.13671875,0.0
1619623463074.0,-23752.103515625,21994.5859375,18143.87109375,-37684.1015625,-18581.072265625,25354.25390625,43422.48828125,-43284.62109375,0.0
1619623463078.0,-23748.21484375,21991.43359375,18116.24609375,-37679.609375,-18571.55078125,25358.814453125,43389.36328125,-43275.30078125,0.0
1619623463082.0,-23754.451171875,21974.603515625,17987.833984375,-37681.5546875,-18576.244140625,25346.9453125,42912.80078125,-43274.16015625,0.0
1619623463086.0,-23760.41796875,21975.408203125,18002.85546875,-37681.0859375,-18577.115234375,25345.26953125,42899.92578125,-43275.97265625,0.0
1619623463090.0,-23765.513671875,21985.265625,18117.85546875,-37689.1328125,-18577.115234375,25347.28125,43372.734375,-43282.67578125,0.0
1619623463094.0,-23764.642578125,21988.21484375,18105.314453125,-37688.2578125,-18581.138671875,25344.93359375,43426.578125,-43286.23046875,0.0
1619623463098.0,-23764.5078125,21973.6640625,17977.306640625,-37683.5,-18585.296875,25334.875,42947.1328125,-43282.41015625,0.0
1619623463102.0,-23767.861328125,21968.43359375,17975.697265625,-37685.64453125,-18590.19140625,25329.712890625,42846.1484375,-43286.96875,0.0
1619623463106.0,-23766.587890625,21977.083984375,18103.90625,-37690.47265625,-18592.806640625,25333.802734375,43313.390625,-43294.48046875,0.0
1619623463110.0,-23763.703125,21979.6328125,18116.6484375,-37689.53515625,-18595.287109375,25334.740234375,43475.52734375,-43294.27734375,0.0
1619623463114.0,-23766.587890625,21965.21484375,17985.15234375,-37690.7421875,-18602.59765625,25325.353515625,43005.13671875,-43294.14453125,0.0
1619623463118.0,-23773.158203125,21958.17578125,17949.14453125,-37697.84765625,-18606.888671875,25317.5078125,42788.61328125,-43298.50390625,0.0
1619623463122.0,-23780.6015625,21970.916015625,18068.970703125,-37710.58984375,-18610.7109375,25318.24609375,43217.76953125,-43307.95703125,0.0
1619623463126.0,-23778.92578125,21979.23046875,18119.93359375,-37704.0859375,-18615.001953125,25321.8671875,43467.078125,-43309.6328125,0.0
1619623463130.0,-23781.474609375,21962.33203125,17999.63671875,-37702.4765625,-18619.5625,25313.619140625,43055.62890625,-43307.01953125,0.0
